Address,Bedrooms,Bathrooms,Area,Year Built,Parking,Pool,Price,Location
5514 Cody Mesa Ct,5 Beds,4 Baths,"3,169 sqft",2015,Garage,No,"$574,900",Colorado
5322 Balsam St,5 Beds,4 Baths,"3,758 sqft",2006,2 Car Garage,No,"$590,000",Colorado
4702 N Weber St,4 Beds,2 Baths,"1,333 sqft",1956,2 Car Garage,No,"$389,999",Colorado
5670 Flag Way,5 Beds,4 Baths,"3,384 sqft",1995,2 Car Garage,No,"$599,900",Colorado
720 Scorpio Cir,4 Beds,4 Baths,"4,214 sqft",1967,4 Car Garage,No,"$990,000",Colorado
2415 Anjelina Cir W,5 Beds,2 Baths,"1,905 sqft",1972,Garage,No,"$310,000",Colorado
16 W Mill St,2 Beds,1 Bath,"1,020 sqft",1895,Garage,No,"$260,000",Colorado
680 Fernglen Ct,3 Beds,3 Baths,"3,225 sqft",1993,3 Car Garage,No,"$565,000",Colorado
1840 Lanka Ln,3 Beds,2 Baths,"1,280 sqft",1986,Garage,,"$220,000",Colorado
7835 Morning Dew Rd,3 Beds,2 Baths,"2,134 sqft",2011,2 Car Garage,No,"$429,900",Colorado
6 E Mill St,3 Beds,2 Baths,"2,088 sqft",1899,Garage,No,"$399,000",Colorado
1290 Brittany Cir,4 Beds,3 Baths,"2,748 sqft ",1973,Garage,No,"$527,900",Colorado
3254 Apogee Vw,2 Beds,3 Baths,"1,284 sqft",1999,2 Car Garage,,"$340,000",Colorado
7175 Riverbay Grv,5 Beds,3 Baths,"2,988 sqft",2001,2 Car Garage,No,"$430,000",Colorado
5714 Red Onion Way,5 Beds,3 Baths,"2,142 sqft",1973,2 Car Garage,No,"$395,000",Colorado
6924 White Sand Point,3 Beds,3 Baths,"1,625 sqft",2007,2 Car Garage,,"$339,900",Colorado
4206 Charleston Dr,2 Beds,2 Baths,"1,100 sqft",1985,Garage,,"$249,997",Colorado
2950 Downhill Dr,5 Beds,3 Baths,"3,430 sqft",1977,Garage,No,"$549,900",Colorado
1514 W Costilla St,3 Beds,3 Baths,"3,302 sqft",2003,2 Car Garage,No,"$579,000",Colorado
116 N 24th St,4 Beds,2 Baths,"2,004 sqft",1900,Garage,No,"$480,000",Colorado
3405 Sinton Rd #99,2 Beds,1 Bath,672 sqft,1973,1 Parking Spaces,,"$27,900",Colorado
6510 Ashcroft Dr,4 Beds,2 Baths,"1,816 sqft ",1972,2 Car Garage,No,"$405,000",Colorado
3291 S Electra Dr,4 Beds,4 Baths,"5,391 sqft",1988,3 Car Garage,No,"$1,120,000",Colorado
4530 Governors Point,7 Beds,12 Baths,"22,055 sqft ",2003,6 Car Garage,No,"$6,850,000",Colorado
Ironwood by Bonnavilla Plan in Build on Your Lot by Seeger Homes by Seeger Homes,3 Beds,2 Baths,"1,899 sqft",2021,No Info,No,"$307,527+",Colorado
8282 Andrus Dr,3 Beds,2 Baths,"2,074 sqft",1998,2 Car Garage,No,"$410,000",Colorado
680 Cima Vista Point,3 Beds,3 Baths,"2,120 sqft",2006,2 Car Garage,,"$331,000",Colorado
6348 Butch Cassidy Blvd,5 Beds,4 Baths,"3,372 sqft",2009,3 Car Garage,No,"$580,000",Colorado
5615 Saddle Rock Rd,4 Beds,4 Baths,"3,586 sqft",1996,3 Car Garage,No,"$600,000",Colorado
5445 S Buckskin Pass Dr,4 Beds,3 Baths,"2,782 sqft",1983,Garage,No,"$458,800",Colorado
426 S Prospect St,3 Beds,3 Baths,"1,630 sqft",2014,No Info,No,"$425,000",Colorado
5384 Prominence Point,3 Beds,3 Baths,"1,400 sqft",2014,Garage,,"$349,900",Colorado
3630 Harbor Island Dr,5 Beds,4 Baths,"3,730 sqft",1999,3 Car Garage,No,"$600,000",Colorado
5290 Turquoise Dr,4 Beds,4 Baths,"4,811 sqft ",1992,3 Car Garage,No,"$950,000",Colorado
1583 Portland Gold Dr,3 Beds,3 Baths,"1,704 sqft",2015,2 Car Garage,,"$445,000",Colorado
7390 Julynn Rd,4 Beds,4 Baths,"2,606 sqft",1995,2 Car Garage,No,"$430,000",Colorado
128 W Rockrimmon Blvd #102,2 Beds,1 Bath,939 sqft,1985,Garage,,"$249,997",Colorado
7335 Axis Point,3 Beds,3 Baths,"1,671 sqft",2013,Garage,No,"$486,900",Colorado
2228 Winston Rd,3 Beds,2 Baths,"1,516 sqft",1958,2 Car Garage,No,"$350,000",Colorado
6040 Bestview Way,4 Beds,4 Baths,"2,817 sqft",1999,Garage,No,"$597,300",Colorado
315 Cheshire Ct,3 Beds,3 Baths,"2,342 sqft ",1996,2 Car Garage,No,"$640,000",Colorado
10901 Echo Canyon Dr,6 Beds,4 Baths,"3,264 sqft",2016,Garage,No,"$619,900",Colorado
3020 Springlake Cir E,4 Beds,3 Baths,"2,681 sqft ",1977,2 Car Garage,No,"$620,000",Colorado
116 Creekside Ln,2 Beds,2 Baths,"1,489 sqft",1979,1 Car Garage,,"$319,900",Colorado
6668 Big Leaf Ln,4 Beds,4 Baths,"2,626 sqft",2007,2 Car Garage,No,"$500,000",Colorado
3282 Kestrel Dr,2 Beds,1 Bath,"2,130 sqft",2002,2 Car Garage,No,"$359,900",Colorado
323 W Saint Vrain St,,,,1900,No Info,,"$425,000",Colorado
7286 Campstool Dr,4 Beds,2 Baths,"2,178 sqft",2003,2 Car Garage,No,"$435,000",Colorado
5245 Quasar Ct,4 Beds,4 Baths,"3,020 sqft",1992,2 Car Garage,No,"$400,000",Colorado
5125 Saddleback Hts,3 Beds,4 Baths,"2,115 sqft",1998,2 Car Garage,,"$375,000",Colorado
7025 Sand Trap Dr,4 Beds,3 Baths,"2,472 sqft ",1984,4 Car Garage,No,"$525,000",Colorado
6939 Mandan Dr,5 Beds,3 Baths,"3,200 sqft",2019,3 Car Garage,No,"$529,900",Colorado
6111 Jorie Rd,3 Beds,2 Baths,"1,574 sqft",2018,Garage,No,"$452,200",Colorado
2841 Namib Dr,4 Beds,3 Baths,"2,293 sqft",2021,2 Car Garage,No,"$449,900",Colorado
1404 N Prospect St,2 Beds,1 Bath,756 sqft,1946,Garage,No,"$349,900",Colorado
5582 Silverstone Ter,4 Beds,3 Baths,"2,643 sqft",2021,2 Car Garage,No,"$604,850",Colorado
26 E Mill St,2 Beds,1 Bath,800 sqft,1909,Garage,No,"$320,000",Colorado
4361 Crow Creek Dr,3 Beds,2 Baths,"1,160 sqft",2003,2 Car Garage,No,"$388,500",Colorado
118 N Olympian Dr,4 Beds,4 Baths,"3,696 sqft",2021,3 Car Garage,No,"$672,069",Colorado
3440 Whimbrel Ln,4 Beds,4 Baths,"2,331 sqft",1986,2 Car Garage,No,"$435,000",Colorado
10853 Nolin Dr,3 Beds,3 Baths,"2,352 sqft",2019,Garage,No,"$469,900",Colorado
5310 Paradox Dr,4 Beds,4 Baths,"2,317 sqft",1993,2 Car Garage,No,"$445,000",Colorado
2195 Bucolo Ave,3 Beds,2 Baths,"3,372 sqft",2006,Garage,No,"$468,300",Colorado
309 E San Miguel St,3 Beds,2 Baths,"2,257 sqft",1905,No Info,No,"$625,000",Colorado
4465 Fenton Rd,3 Beds,2 Baths,"1,655 sqft",1982,Garage,No,"$350,000",Colorado
2770 Rossmere St,5 Beds,4 Baths,"3,934 sqft ",1994,3 Car Garage,No,"$875,000",Colorado
5704 Brave Eagle Dr,6 Beds,3 Baths,"4,107 sqft",2006,3 Car Garage,No,"$635,000",Colorado
8105 Sandsmere Dr,4 Beds,4 Baths,"3,000 sqft",2018,2 Car Garage,No,"$510,000",Colorado
2103 N Union Blvd,4 Beds,2 Baths,"1,704 sqft",1952,1 Parking Spaces,No,"$390,000",Colorado
410 E Boulder St,4 Beds,3 Baths,"2,257 sqft",1900,Garage,No,"$389,900",Colorado
1209 La Junta Ave,3 Beds,1 Bath,"1,214 sqft",1954,No Info,No,"$310,000",Colorado
7005 Wagon Ridge Dr,5 Beds,3 Baths,"2,942 sqft",2001,2 Car Garage,No,"$525,000",Colorado
1213 La Veta Way,4 Beds,3 Baths,"2,528 sqft ",1951,1 Car Garage,No,"$615,000",Colorado
4337 Alder Springs Vw,3 Beds,3 Baths,"1,639 sqft",2004,1 Car Garage,,"$345,000",Colorado
821 Panorama Dr,4 Beds,2 Baths,"1,694 sqft",1958,1 Car Garage,No,"$478,000",Colorado
17 Loma Linda Dr,4 Beds,3 Baths,"2,372 sqft ",1955,2 Car Garage,No,"$600,000",Colorado
921 N Union Blvd,2 Beds,1 Bath,"1,755 sqft",1945,Garage,No,"$310,000",Colorado
163 S Raven Mine Dr,2 Beds,3 Baths,"1,596 sqft",2007,2 Parking Spaces,,"$394,900",Colorado
7013 Oak Valley Dr,4 Beds,3 Baths,"3,730 sqft ",1984,2 Car Garage,No,"$636,000",Colorado
1255 Oak Hills Dr,7 Beds,4 Baths,"3,823 sqft",1979,2 Car Garage,No,"$798,000",Colorado
