Address,Bedrooms,Bathrooms,Area,Year Built,Parking,Pool,Price,Location
1421 NW 33rd Ct,3 Beds,2 Baths,"1,467 sqft",1950,Open Parking,No,"$399,000",Miami
4841 NW 7th St #101-4,2 Beds,2 Baths,782 sqft,1973,Garage,Pool,"$179,000",Miami
34 SW 34th Ave #158,,,,,,,"$33,000",Miami
5420 SW 7th St,2 Beds,1 Bath,"1,369 sqft",1946,Open Parking,No,"$320,000",Miami
301 SW 50th Ave,3 Beds,2 Baths,"1,385 sqft",1954,Open Parking,No,"$695,000",Miami
2800 Coacoochee St,6 Beds,5 Baths,"4,750 sqft",2015,Garage,No,"$3,280,000",Miami
848 NE 81st St,3 Beds,2 Baths,"2,316 sqft ",1938,2 Car Garage,No,"$1,380,000",Miami
600 NE 27th St #2501,3 Beds,3 Baths,"1,547 sqft",2015,Garage,Pool,"$779,000",Miami
3131 NE 7th Ave #4004,3 Beds,4 Baths,"1,526 sqft",2018,Garage,,"$1,259,000",Miami
690 SW 1st Ct #1225,1 Bed,1 Bath,638 sqft,2006,1 Car Garage,Pool,"$250,000",Miami
2959 SW 13th St,5 Beds,3 Baths,"2,054 sqft",1972,None,No,"$587,900",Miami
1080 Brickell Ave #501,1 Bed,2 Baths,"1,130 sqft",2016,Garage,,"$549,000",Miami
50 Biscayne Blvd #2005,1 Bed,1 Bath,845 sqft,2007,Garage,Pool,"$340,000",Miami
335 S Biscayne Blvd #1612,3 Beds,2 Baths,"1,416 sqft",2005,Garage,,"$690,000",Miami
928 NW 64th St,3 Beds,1 Bath,901 sqft,1948,No Info,No,"$267,000",Miami
1710 SW 35th Ct,3 Beds,3 Baths,"1,612 sqft",1979,No Info,No,"$374,999",Miami
3120 SW 23rd Ter #2,4 Beds,4 Baths,"2,682 sqft",2021,1 Car Garage,Pool,"$955,000",Miami
1549 NW 68th St,3 Beds,2 Baths,"1,811 sqft",1940,Garage,No,"$354,900",Miami
3054 NW 1st St,3 Beds,1 Bath,"1,168 sqft",1948,Open Parking,No,"$375,000",Miami
185 SE 14th Ter #1603,2 Beds,2 Baths,950 sqft,1998,1 Car Garage,Pool,"$360,000",Miami
510 NW 59th Ave,3 Beds,1 Bath,"1,262 sqft",1968,Garage,No,"$450,000",Miami
1912 SW 17th Ave #14,2 Beds,2 Baths,970 sqft,1977,No Info,,"$219,900",Miami
4161 Woodridge Rd,3 Beds,2 Baths,"1,050 sqft",1948,Garage,No,"$1,390,000",Miami
501 NE 31st St #407,2 Beds,2 Baths,"1,069 sqft",2018,1 Car Garage,Pool,"$490,000",Miami
1853 NW 49th St,3 Beds,1 Bath,"1,047 sqft",1926,Open Parking,No,"$270,000",Miami
1633 SW 11th Ter,3 Beds,2 Baths,"1,882 sqft",1922,Garage,No,"$625,000",Miami
940 SW 30th Ave,3 Beds,3 Baths,"2,028 sqft",1938,No Info,No,"$350,000",Miami
1750 N Bayshore Dr #2508,Studio,1 Bath,503 sqft,2007,1 Car Garage,,"$219,000",Miami
1900 N Bayshore Dr #1406,1 Bed,1 Bath,951 sqft,2007,Garage,,"$360,000",Miami
218 SE 14th St #1807,1 Bed,1 Bath,811 sqft,2006,1 Car Garage,Pool,"$420,000",Miami
6700 NW 5th Ave,4 Beds,2 Baths,"1,248 sqft",1947,Open Parking,No,"$365,000",Miami
