Address,Bedrooms,Bathrooms,Area,Year Built,Parking,Pool,Price,Location
308 W Upsal St,6 Beds,3 Baths,"3,312 sqft",1925,Open Parking,No,"$475,000",Philadelphia
3825 Salina Rd,3 Beds,2 Baths,"1,600 sqft",1964,1 Car Garage,Pool,"$284,900",Philadelphia
7201 Wayne Ave,7 Beds,7 Baths,"8,000 sqft ",1923,2 Car Garage,Yes,"$2,450,000",Philadelphia
4803 E Howell St,3 Beds,1 Bath,"1,280 sqft",1935,2 Open Spaces,No,"$139,000",Philadelphia
8204 Seminole St,7 Beds,6 Baths,"8,472 sqft",1892,Garage,No,"$3,895,000",Philadelphia
201 E Benezet St,3 Beds,1 Bath,"1,280 sqft",1925,Open Parking,No,"$399,900",Philadelphia
2048 N Franklin St,5 Beds,2 Baths,"1,880 sqft",1969,Open Parking,Pool,"$270,000",Philadelphia
111 S 15th St #1902,2 Beds,2 Baths,"1,091 sqft",1900,None,Pool,"$385,000",Philadelphia
219 S 18th St #1603,1 Bed,1 Bath,509 sqft,1900,Open Parking,Pool,"$269,000",Philadelphia
405 E Mount Airy Ave,5 Beds,3 Baths,"2,688 sqft",1925,Garage,No,"$540,000",Philadelphia
510 E Tulpehocken St,4 Beds,3 Baths,"1,600 sqft",1900,Open Parking,No,"$349,900",Philadelphia
1702 Naudain St,3 Beds,2 Baths,"1,344 sqft",1888,None,Pool,"$650,000",Philadelphia
1818 Cedar St,3 Beds,2 Baths,"2,126 sqft",1928,Garage,No,"$264,900",Philadelphia
1941 Wilder St,3 Beds,3 Baths,"2,133 sqft",2018,Open Parking,Pool,"$529,000",Philadelphia
6116 Shisler St,3 Beds,2 Baths,"1,200 sqft",1925,1 Car Garage,Pool,"$189,900",Philadelphia
36 S Strawberry St #55,1 Bed,1 Bath,898 sqft,1900,None,Pool,"$309,000",Philadelphia
3024 N Water St,3 Beds,1 Bath,"1,016 sqft",1920,None,Pool,"$75,000",Philadelphia
809 N Bambrey St,2 Beds,1 Bath,"1,042 sqft",1923,None,Pool,"$385,000",Philadelphia
2868 Welsh Rd,3 Beds,3 Baths,"1,545 sqft",1963,1 Car Garage,No,"$319,900",Philadelphia
1318 Addison St,2 Beds,1 Bath,875 sqft,1858,Open Parking,Pool,"$395,000",Philadelphia
8414 Temple Rd,3 Beds,2 Baths,"1,080 sqft",1950,1 Car Garage,Pool,"$250,000",Philadelphia
66 E Bringhurst St,5 Beds,1 Bath,"2,204 sqft",1930,Open Parking,No,"$165,000",Philadelphia
2423 Wharton St,4 Beds,2 Baths,"1,540 sqft",1925,Open Parking,Pool,"$275,000",Philadelphia
