Address,Bedrooms,Bathrooms,Area,Year Built,Parking,Pool,Price,Location
214 Cole St,2 Beds,1 Bath,"1,190 sqft",1910,No Info,Pool,"$995,000",San Francisco
1950 Gough St #507,Studio,1 Bath,650 sqft,1926,No Info,,"$665,000",San Francisco
2125 18th St,5 Beds,3 Baths,"2,462 sqft",1900,No Info,,"$1,495,000",San Francisco
345 Allison St,4 Beds,2 Baths,"1,722 sqft",1949,Garage,No,"$993,000",San Francisco
1170 Sacramento St #8A,2 Beds,3 Baths,,1963,No Info,,"$3,650,000",San Francisco
34 Otsego Ave,3 Beds,1 Bath,"1,395 sqft",1924,2 Parking Spaces,No,"$1,095,000",San Francisco
1350 California St #303,1 Bed,1 Bath,791 sqft ,1984,Garage,,"$799,000",San Francisco
2207 12th Ave,2 Beds,1 Bath,,1949,Attached Garage,No,"$2,200,000",San Francisco
770 Francisco St,2 Beds,1 Bath,"1,031 sqft",1900,No Info,Pool,"$1,250,000",San Francisco
155 Central Ave,3 Beds,2 Baths,"1,660 sqft",No Info,No Info,,"$1,425,000",San Francisco
1800 Bryant St #113,1 Bed,2 Baths,"1,124 sqft ",2000,Garage,,"$899,000",San Francisco
855 La Playa St #351,2 Beds,2 Baths,"1,127 sqft",1982,No Info,,"$899,000",San Francisco
267 Duncan St,4 Beds,3 Baths,"2,290 sqft",1900,0 Open Spaces,No,"$2,495,000",San Francisco
1530 McAllister St #1,2 Beds,1 Bath,,1915,1 Parking Spaces,,"$995,000",San Francisco
3740 Clay St,5 Beds,6 Baths,"4,452 sqft",1904,Garage,No,"$7,200,000",San Francisco
368 Vallejo St,1 Bed,2 Baths,902 sqft,1906,0 Open Spaces,No,"$1,195,000",San Francisco
1335 Union St #1,1 Bed,1 Bath,926 sqft,1923,Garage,,"$799,000",San Francisco
153 Summit Way,3 Beds,3 Baths,"2,125 sqft",No Info,Attached Garage,Pool,"$1,695,000",San Francisco
2540 Hyde St,3 Beds,2 Baths,"1,595 sqft",1908,No Info,,"$1,695,000",San Francisco
55-57 Delmar St,5 Beds,1 Bath,"2,276 sqft",,,,"$2,195,000",San Francisco
