Address,Bedrooms,Bathrooms,Area,Year Built,Parking,Pool,Price,Location
13181 Francis Lewis Blvd,3 Beds,1 Bath,"1,479 sqft",1940,Garage,No,"$299,000",New York
21-57 33rd St #4B,2 Beds,1 Bath,,Year Built,,,"$279,000",New York
854 5th Ave,Studio,,"20,000 sqft",1910,No Info,,"$50,000,000",New York
1512 Paulding Ave,3 Beds,2 Baths,"2,500 sqft",1910,No Info,No,"$538,000",New York
89 Schmidts Ln,3 Beds,1 Bath,"1,468 sqft",1960,1 Car Garage,No,"$619,000",New York
232 W 10th St,4 Beds,3 Baths,"2,684 sqft",1833,No Info,,"$4,950,000",New York
73-13 57th Ave,3 Beds,2 Baths,,1925,Garage,No,"$699,000",New York
159 Carlton Ave #1A,2 Beds,2 Baths,"1,701 sqft",1987,No Info,,"$1,700,000",New York
592 College Ave,4 Beds,2 Baths,984 sqft,1950,No Info,No,"$649,000",New York
151 Wooster St #4/5B,5 Beds,7 Baths,"6,014 sqft",1915,No Info,,"$17,995,000",New York
23 Seth Loop,4 Beds,3 Baths,"1,370 sqft",1998,Attached Garage,,"$718,000",New York
39 Plaza St W,1 Bed,1 Bath,750 sqft,1927,No Info,,"$395,000",New York
112-30 Northern Blvd #6D,3 Beds,1 Bath,,Year Built,,,"$235,000",New York
129 E 102nd St #6F,1 Bed,1 Bath,,Year Built,,,"$249,000",New York
3280 Hull Ave,5 Beds,3 Baths,"2,272 sqft",1901,No Info,,"$850,000",New York
2320 Tenbroeck Ave,4 Beds,2 Baths,"1,887 sqft",1940,1 Car Garage,,"$898,888",New York
995 5th Ave,6 Beds,8 Baths,"6,891 sqft",1926,No Info,,"$50,000,000",New York
9281 Shore Rd #203,2 Beds,1 Bath,"1,000 sqft",1940,No Info,,"$500,000",New York
15127 10th Ave,4 Beds,5 Baths,,2002,2 Car Garage,No,"$1,688,000",New York
85 Edgewater Park #C,3 Beds,1 Bath,703 sqft,Year Built,,,"$169,000",New York
35 Sand Hl,4 Beds,3 Baths,"3,036 sqft",1925,No Info,No,"$995,000",New York
116 E 65th St,5 Beds,6 Baths,"6,950 sqft",1910,No Info,,"$18,250,000",New York
360 Barlow Ave #25A,2 Beds,2 Baths,948 sqft,1985,No Info,,"$369,000",New York
5 Alice Ct,6 Beds,3 Baths,"1,920 sqft",1899,No Info,,"$1,099,999",New York
43 Lake Ave,6 Beds,5 Baths,"2,644 sqft",2021,No Info,,"$899,000",New York
100 Remsen St #7B,1 Bed,1 Bath,900 sqft,1950,No Info,,"$350,000",New York
280 Adams Ave,3 Beds,2 Baths,"2,550 sqft",1983,No Info,Yes,"$838,000",New York
153 Willoughby Ave,5 Beds,3 Baths,"2,520 sqft",1901,No Info,No,"$2,295,000",New York
238 Yetman Ave,4 Beds,4 Baths,"3,780 sqft",1938,Open Parking,No,"$899,999",New York
100 W 141st St #27,5 Beds,1 Bath,"1,250 sqft",1920,No Info,,"$439,000",New York
232 E 61st St #Townhouse,5 Beds,8 Baths,"7,000 sqft",1910,No Info,,"$8,950,000",New York
155-21 84th St,3 Beds,1 Bath,,1965,Open Parking,,"$285,000",New York
44 Doreen Dr,3 Beds,3 Baths,"1,595 sqft",1988,Garage,Pool,"$469,000",New York
1495 E 93rd St,4 Beds,3 Baths,"2,467 sqft",1965,No Info,,"$808,000",New York
2201 Schenectady Ave,3 Beds,3 Baths,,1920,Garage,,"$765,000",New York
609 Kappock St #5K,2 Beds,1 Bath,925 sqft,1962,No Info,Pool,"$189,000",New York
268 E 4th St #5CD,3 Beds,2 Baths,,Year Built,,,"$699,000",New York
164-32 96th St,3 Beds,2 Baths,"1,176 sqft",1950,Garage,No,"$699,000",New York
392A Bainbridge St,5 Beds,3 Baths,"2,175 sqft",1901,No Info,No,"$1,675,000",New York
16 Remsen St,6 Beds,5 Baths,"6,500 sqft",1899,No Info,,"$10,900,000",New York
2452 Delanoy Ave,6 Beds,4 Baths,"2,440 sqft",1987,Garage,,"$899,000",New York
112-19 34th Ave #3H,2 Beds,1 Bath,"1,000 sqft",1953,Open Parking,,"$174,900",New York
25 Tessa Ct,3 Beds,5 Baths,"2,280 sqft",2004,Garage,,"$549,000",New York
16 Stuyvesant Ave,4 Beds,3 Baths,"2,400 sqft",1901,No Info,No,"$1,495,000",New York
648 Macon St,3 Beds,3 Baths,"2,214 sqft",1901,No Info,,"$1,775,000",New York
174 Watchogue Rd,3 Beds,2 Baths,"1,056 sqft",1960,Garage,No,"$584,000",New York
3475 Greystone Ave #LD,1 Bed,1 Bath,,Year Built,,,"$160,000",New York
512 E 11th St #4C,Studio,1 Bath,450 sqft,1929,None,,"$340,000",New York
196-11 42nd Rd,6 Beds,2 Baths,,1920,Garage,Pool,"$1,459,000",New York
2 Grove St #1C,Studio,1 Bath,450 sqft,1940,No Info,,"$599,000",New York
5114 Beverly Rd,4 Beds,3 Baths,"1,975 sqft",1940,No Info,,"$799,000",New York
69 Oxford Pl,5 Beds,2 Baths,"2,990 sqft",1920,Open Parking,,"$650,000",New York
2822 Mermaid Ave,3 Beds,2 Baths,"1,680 sqft",1999,No Info,No,"$560,000",New York
236 Yetman Ave,5 Beds,4 Baths,"2,656 sqft",2020,Garage,,"$899,999",New York
58 Ladd Ave,3 Beds,2 Baths,"2,088 sqft",1978,Garage,No,"$758,000",New York
24106 137th Ave,4 Beds,2 Baths,"1,676 sqft",1920,No Info,No,"$409,000",New York
137-14 97th St,3 Beds,2 Baths,296 sqft,1925,Garage,No,"$370,000",New York
5-46 117th St,3 Beds,2 Baths,"1,092 sqft",1950,No Info,No,"$888,000",New York
9 E 88th St,8 Beds,10 Baths,"14,125 sqft",1899,No Info,No,"$38,000,000",New York
16 Temple Ct,3 Beds,2 Baths,"1,008 sqft",1910,No Info,No,"$1,295,000",New York
52 Adrianne Ln,2 Beds,2 Baths,993 sqft,1992,No Info,Pool,"$399,000",New York
144 Sterling St,6 Beds,4 Baths,"3,300 sqft",1899,No Info,,"$2,499,000",New York
31 E Franklin Ln #A,2 Beds,2 Baths,182 sqft,1986,No Info,,"$599,900",New York
1435 79th St,4 Beds,3 Baths,"1,830 sqft",1930,Garage,No,"$1,150,000",New York
205 E 63rd St #11GH,3 Beds,3 Baths,"1,700 sqft",1963,Garage,,"$850,000",New York
331 76th St,5 Beds,2 Baths,"3,000 sqft",1905,No Info,,"$1,325,000",New York
145 Burton Ave,4 Beds,3 Baths,"2,800 sqft",1994,1 Car Garage,No,"$999,000",New York
